district,distance_to_nubank,safety,walkability,traffic,rent_price,buy_price,green_spaces,nightlife,family_friendly,public_transport,notes,healthcare
PINHEIROS,10,7,9,4,3,3,7,9,6,10,Nubank HQ. Oscar Freire (L4 Yellow) at doorstep. Faria Lima is among SP's most congested arteries. Phone snatch risk near bars is real.,7
ALTO DE PINHEIROS,9,8,7,6,4,3,8,5,8,7,Quiet upper-residential streets. very low foot-traffic density. One of the safer areas in the city near Nubank.,8
PERDIZES,8,7,8,6,5,4,7,6,8,8,Sumaré (L2) nearby. Primarily residential with good schools. Lower commercial density keeps street robbery rates moderate-low.,8
VILA MADALENA,8,7,10,5,4,4,6,10,5,9,Vila Madalena (L2) station. Dense nightlife elevates phone robbery at night near Rua Wisard/Harmonia. Safe during the day.,7
JARDIM PAULISTA,7,8,9,4,2,2,7,7,7,8,Includes Jardins area. Near Consolação (L2). High private security presence. Paulista Ave congestion affects the district. Low robbery occurrence rates in SSP data.,8
CONSOLAÇÃO,7,7,9,4,5,5,6,9,5,9,Consolação (L2). Rua Augusta is SP's densest nightlife street — score reflects that. Paulista congestion and bar crowds elevate phone theft risk at night. Parque Siqueira Campos (Trianon) is located in this district on Alameda Santos.,7
BELA VISTA,7,8,9,4,5,5,5,8,6,8,Historical Bixiga. Trianon-Masp (L2) nearby. Paulista Ave and Av. Brigadeiro cause significant congestion. Busy restaurant streets raise opportunistic theft.,3
REPÚBLICA,6,4,8,4,7,7,4,7,4,8,One of SP's highest street robbery concentrations. Downtown congestion + major transit hub + homeless presence + tourist foot traffic. Phone theft very common.,10
LIBERDADE,7,7,9,5,6,6,4,7,6,8,Liberdade (L1). Downtown adjacent. Market streets attract pickpockets. Safer than República but vigilance needed.,2
CAMBUCI,7,8,7,6,7,7,5,6,7,6,Transitional residential. Lower foot traffic than nearby downtown. Improving safety trend. No metro but bus connections to Paraíso.,6
SANTA CECÍLIA,7,8,9,5,6,6,4,8,5,8,Santa Cecília (L3). Bar scene and proximity to República elevates risk at night. Caution near Largo do Arouche.,3
BARRA FUNDA,6,5,7,5,6,6,5,6,5,9,Barra Funda (L3 + CPTM L8/L9). Excellent multi-modal transit. Industrial character softening with gentrification but street crime remains.,6
VILA LEOPOLDINA,7,6,7,6,5,5,6,5,6,6,CPTM L9 (Villa Lobos-Jaguaré). Quiet residential. low occurrence rates. Expat community growing. Good value near Pinheiros.,5
LAPA,7,5,8,6,6,6,5,6,6,7,Lapa (CPTM L8/L9). Traditional bairro. Commercial hub at Largo da Lapa has pickpocketing. Residential streets generally calm.,7
VILA ROMANA,7,6,7,6,6,6,5,5,7,6,Mostly residential. low commercial density. Fewer street robbery occurrences than neighboring Lapa center. Good value.,7
ITAIM BIBI,6,8,9,3,2,2,6,8,6,5,Faria Lima + Av. Brigadeiro + Juscelino: some of SP's worst traffic. Restaurant terraces are a known phone snatch hotspot. No metro nearby. Includes Vila Olímpia — SP's most expensive sub-neighborhood (R$100–109/m² per QuintoAndar 2025 index).,7
MOEMA,7,8,9,5,3,3,9,6,8,8,Moema (L5). Leafy and upscale. Low homicide rate. moderate phone theft near mall entrances. Among the safer south-zone profiles.,5
CAMPO BELO,6,6,8,6,4,4,7,5,8,8,Campo Belo (L5). Quiet upper-middle residential. Low street robbery rates. Less commercial density = fewer targets.,5
SANTO AMARO,4,8,7,6,6,6,5,5,7,7,Santo Amaro (L5 + CPTM). Southern commercial hub. Shopping malls drive moderate street robbery. Not alarming but not negligible.,4
SAÚDE,5,6,7,6,6,6,6,4,8,8,Saúde (L1). Southern zone residential. Moderate safety profile. Lower robbery rates than central districts. Family-oriented blocks.,5
